v1	V(n002)	I(D1)
-6.600000000000628e-001	-6.599975e-001	-2.520659e-009
-6.500000000000628e-001	-6.499975e-001	-2.520649e-009
-6.400000000000627e-001	-6.399975e-001	-2.520638e-009
-6.300000000000627e-001	-6.299975e-001	-2.520628e-009
-6.200000000000627e-001	-6.199975e-001	-2.520617e-009
-6.100000000000627e-001	-6.099975e-001	-2.520606e-009
-6.000000000000627e-001	-5.999975e-001	-2.520596e-009
-5.900000000000627e-001	-5.899975e-001	-2.520584e-009
-5.800000000000627e-001	-5.799975e-001	-2.520573e-009
-5.700000000000627e-001	-5.699975e-001	-2.520561e-009
-5.600000000000627e-001	-5.599975e-001	-2.520549e-009
-5.500000000000627e-001	-5.499975e-001	-2.520536e-009
-5.400000000000627e-001	-5.399975e-001	-2.520523e-009
-5.300000000000626e-001	-5.299975e-001	-2.520509e-009
-5.200000000000626e-001	-5.199975e-001	-2.520494e-009
-5.100000000000626e-001	-5.099975e-001	-2.520477e-009
-5.000000000000626e-001	-4.999975e-001	-2.520459e-009
-4.900000000000626e-001	-4.899975e-001	-2.520439e-009
-4.800000000000626e-001	-4.799975e-001	-2.520417e-009
-4.700000000000626e-001	-4.699975e-001	-2.520391e-009
-4.600000000000626e-001	-4.599975e-001	-2.520361e-009
-4.500000000000626e-001	-4.499975e-001	-2.520327e-009
-4.400000000000626e-001	-4.399975e-001	-2.520287e-009
-4.300000000000626e-001	-4.299975e-001	-2.520239e-009
-4.200000000000626e-001	-4.199975e-001	-2.520182e-009
-4.100000000000625e-001	-4.099975e-001	-2.520113e-009
-4.000000000000625e-001	-3.999975e-001	-2.520030e-009
-3.900000000000625e-001	-3.899975e-001	-2.519929e-009
